Generation,Individual,Fitness
0,0,-16979250156
0,1,-16485465204
0,2,-16145921833
0,3,-16940846424
0,4,-16462292760
0,5,-16172525012
0,6,-16678739671
0,7,-16639969118
0,8,-16317024907
0,9,-16480982816
1,0,-16145921833
1,1,-16172525012
1,2,-16634672355
1,3,-16314450064
1,4,-16433663836
1,5,-16592629114
1,6,-16719085672
1,7,-16325490744
1,8,-16599724927
1,9,-16207984368
2,0,-16145921833
2,1,-16172525012
2,2,-16421094952
2,3,-16681063609
2,4,-16908732960
2,5,-16082970782
2,6,-16299127120
2,7,-16544174956
2,8,-16713826988
2,9,-16253029620
3,0,-16082970782
3,1,-16145921833
3,2,-16189133295
3,3,-16145976031
3,4,-16302513306
3,5,-16095811190
3,6,-16310346192
3,7,-16062915685
3,8,-16253541483
3,9,-16390299543
4,0,-16062915685
4,1,-16082970782
4,2,-16171689396
4,3,-16088051956
4,4,-16041160020
4,5,-16324439806
4,6,-16286433586
4,7,-16412037404
4,8,-16172634123
4,9,-16491399393
5,0,-16041160020
5,1,-16062915685
5,2,-16376781544
5,3,-16218078691
5,4,-16177816369
5,5,-16087069078
5,6,-16430281476
5,7,-16118172677
5,8,-15936918539
5,9,-16195561660
6,0,-15936918539
6,1,-16041160020
6,2,-16000977859
6,3,-15903604122
6,4,-16133657212
6,5,-16216829137
6,6,-16167206121
6,7,-16335428238
6,8,-15927245723
6,9,-16176714266
7,0,-15903604122
7,1,-15927245723
7,2,-16024194806
7,3,-15915937369
7,4,-15929558084
7,5,-16142696667
7,6,-15963139467
7,7,-16037841268
7,8,-16219141638
7,9,-15950553100
8,0,-15903604122
8,1,-15915937369
8,2,-16205547680
8,3,-16131682332
8,4,-15957049454
8,5,-16052325543
8,6,-16130844730
8,7,-15754178473
8,8,-16098119366
8,9,-16015485006
9,0,-15754178473
9,1,-15903604122
9,2,-15926179156
9,3,-15827044196
9,4,-15983743588
9,5,-15710695958
9,6,-15851962250
9,7,-15908170331
9,8,-15916374579
9,9,-15916040491
